sigma0,M,alpha,G,b,rho,solute,c,T,epsd,rp,rc,fp,beta,sigma,sigmae
11.81174575,2.548174525,0.381033501,25383941075,2.24E-10,6.02471E+12,2,0.02361487,412.1729492,0.804603873,1.43E-09,8.52E-09,0.006830008,0.604209717,74.232147,77.83565182
18.26412286,2.923271364,0.612349484,29082492284,3.14E-10,6.76939E+12,4,0.027371939,428.9522896,0.105377771,1.66E-09,6.95E-09,0.026186882,0.656097898,452.3967093,458.3898853
24.37345118,2.028617371,0.657063669,23383687032,3.37E-10,2.64276E+12,3,0.02886153,309.1663431,0.607431311,1.08E-09,6.40E-09,0.028269355,0.352131441,146.9061265,149.3623531
19.16728421,2.947850028,0.412570324,22482175030,1.01E-10,5.92143E+12,0,0.029606913,593.5387459,0.163882712,1.69E-09,1.21E-08,0.003177071,0.690409607,60.41730278,62.9605048
13.90673201,3.492705225,0.528532563,23244862724,2.04E-10,1.09964E+12,5,0.020471607,491.4211424,0.636514201,1.27E-09,1.14E-08,0.018983177,0.565589325,262.9023338,263.5818251
19.01479462,3.171974978,0.31704275,20755565279,1.65E-10,8.76685E+12,0,0.02746027,439.7243061,0.267279173,1.95E-09,1.18E-08,0.013665243,0.398881135,88.87528138,80.87608874
20.15095506,3.872525977,0.423544054,29153374700,3.92E-10,3.51387E+12,3,0.027341438,345.8110354,0.15906114,1.47E-09,1.21E-08,0.02006278,0.578423499,254.1496127,260.0719261
12.769435,3.348490492,0.421627963,28330848852,2.19E-10,7.16267E+12,0,0.022048125,381.6960623,0.524923195,1.79E-09,8.85E-09,0.004500994,0.479924096,123.9460645,122.4775256
20.16627054,3.837917889,0.549840027,20741781989,1.87E-10,6.69884E+12,2,0.010997708,386.3457501,0.575848708,1.68E-09,7.76E-09,0.017523459,0.67136937,140.2256278,142.7095139
26.31800642,2.915167027,0.635272507,22700344033,3.77E-10,5.07881E+12,4,0.012559529,552.4700414,0.692574003,1.91E-09,9.08E-09,0.016818297,0.578984819,236.4227354,240.3251683
29.18759818,2.102560619,0.688253608,20377214368,1.85E-10,6.13345E+12,3,0.010687701,383.5107527,0.020664561,1.97E-09,6.86E-09,0.025884835,0.329409852,73.61747629,73.29434248
10.72483352,2.02775501,0.420473861,23861733192,2.08E-10,1.87643E+12,5,0.015262552,510.5177592,0.976739852,1.00E-09,7.20E-09,0.020506484,0.370054227,137.0467075,128.4687872
19.03641754,3.899866954,0.63074466,29461321567,1.75E-10,3.55699E+12,4,0.025265171,404.6702133,0.46583595,1.33E-09,1.14E-08,0.021792872,0.364745048,247.6251585,247.2824409
28.6335598,3.523571844,0.440623211,20326347459,1.84E-10,6.84277E+12,3,0.023948021,590.0029293,0.143941606,1.23E-09,9.50E-09,0.006391922,0.444484066,82.31669803,88.9014352
11.29188019,3.046184266,0.34799517,23551317746,3.58E-10,9.49521E+12,0,0.025874416,424.3408354,0.79112533,1.59E-09,6.29E-09,0.00577513,0.48787171,186.6085719,193.7215964
12.54712481,3.435173674,0.320164138,21851533183,1.15E-10,7.83778E+11,4,0.020911004,443.5928615,0.877050358,1.98E-09,6.49E-09,0.003504791,0.482531609,167.1645709,161.8695743
11.363144,2.517965438,0.572304367,25455731877,1.63E-10,6.35082E+12,0,0.024877084,524.7162047,0.662233405,1.45E-09,6.96E-09,0.00919128,0.657170391,112.4046975,105.5582223
18.31745965,3.728874903,0.411727162,29822035549,1.90E-10,9.42295E+12,2,0.010219153,321.8045536,0.343769468,1.23E-09,8.31E-09,0.009263435,0.304520616,75.68003092,70.90900578
22.15091519,2.334434881,0.544113937,23254063643,1.44E-10,6.62582E+12,0,0.023352934,500.0286326,0.216128317,1.95E-09,1.11E-08,0.01234145,0.40959173,60.97378873,69.33373292
23.92950437,2.515044424,0.677298196,21253383537,2.61E-10,3.73262E+12,0,0.020381821,392.6062654,0.64518932,1.24E-09,8.44E-09,0.026883277,0.602502443,142.4982299,138.5614059
14.16000706,3.468292824,0.412066717,25549517480,1.21E-10,9.17179E+12,2,0.022141415,404.8840163,0.743515223,1.11E-09,1.14E-08,0.012109202,0.587595867,55.90251433,60.10542374
28.93751179,2.458525874,0.343837789,29553514694,2.56E-10,9.00348E+12,3,0.018162204,314.9258647,0.173767746,1.96E-09,1.07E-08,0.005007713,0.465235769,88.76897985,84.04736826
18.11956826,2.574005332,0.309883509,26329963362,3.88E-10,9.29677E+12,3,0.017567748,466.5862886,0.016949969,1.44E-09,1.17E-08,0.01694482,0.663629333,143.1536463,135.7571577
27.81997262,2.120369378,0.350588882,26729568876,3.47E-10,2.99814E+12,4,0.014538048,571.5436512,0.967067506,1.44E-09,6.39E-09,0.026442263,0.691146891,295.5798684,291.5360924
17.89182678,3.900254544,0.597147016,20913134446,2.94E-10,2.59404E+12,5,0.010247985,305.4117602,0.737705248,1.78E-09,1.02E-08,0.025645411,0.661056144,319.2919872,326.2416073
10.85033285,3.885312116,0.684113355,20356400426,1.46E-10,7.50984E+12,5,0.02413963,443.5756167,0.892625279,1.75E-09,1.02E-08,0.021448551,0.696482749,352.1450987,360.9461245
28.25809537,3.252313416,0.454508225,28720154449,2.64E-10,9.05026E+12,3,0.029284764,562.3033231,0.185187743,1.28E-09,1.02E-08,0.028329431,0.340916507,151.8125559,148.7318402
28.53281425,3.838571101,0.506902966,29467400409,1.49E-10,6.50738E+12,0,0.026497918,364.6749605,0.944000812,1.52E-09,6.39E-09,0.020432981,0.546394223,236.4372913,227.5547677
17.26210924,2.624534936,0.625421555,28483511406,3.52E-10,8.7296E+12,2,0.024819062,504.8759483,0.361065481,1.80E-09,1.20E-08,0.02139338,0.594785975,161.2647823,165.403553
17.06970094,2.383833753,0.500337017,22899503339,2.67E-10,9.07101E+12,1,0.017061534,501.6367924,0.941247484,1.83E-09,8.35E-09,0.010241988,0.331177324,132.4531921,129.1837098
20.31629738,2.278255096,0.45370557,26846387634,3.32E-10,5.60006E+12,3,0.013110359,566.1929445,0.499706813,1.13E-09,1.12E-08,0.010851812,0.56802704,86.8653469,82.64184137
12.02889012,2.310069316,0.485586368,29597943072,3.98E-10,8.19384E+11,5,0.028007815,385.6605214,0.592480198,1.97E-09,9.51E-09,0.02933488,0.303308446,285.7586236,287.7625647
26.84757214,3.334050306,0.388962256,23237249177,1.37E-10,1.31082E+12,1,0.024854154,485.0052849,0.211499597,1.45E-09,9.05E-09,0.00205021,0.561617819,152.4908236,148.4897186
25.09597784,2.407878735,0.624259753,24268590418,2.45E-10,7.66576E+12,5,0.023238733,317.5228189,0.630224528,1.71E-09,7.23E-09,0.006181964,0.473760024,245.3522098,245.7051771
24.25246271,3.620382083,0.394230703,29677224757,3.63E-10,4.57903E+12,4,0.020090587,311.7165289,0.834434107,1.31E-09,7.84E-09,0.010952624,0.559078925,349.1777583,354.9494268
16.72045165,2.428195075,0.555145018,24084488260,1.77E-10,1.59317E+12,0,0.015904258,394.9609793,0.39418994,1.41E-09,1.06E-08,0.00171999,0.574032351,47.38640525,56.02112757
20.44378214,3.729124256,0.646844574,21095581119,1.32E-10,3.9914E+12,5,0.011619407,393.6094762,0.487570282,1.07E-09,1.10E-08,0.007745856,0.58735289,181.9081298,181.5277118
15.4682404,3.591771822,0.317732905,28724487543,2.06E-10,5.44915E+12,4,0.015314424,492.2618528,0.58966203,1.90E-09,9.15E-09,0.01374897,0.445747656,197.5123177,197.3458252
11.33624412,3.013953732,0.606012514,20687662975,1.67E-10,9.11061E+12,3,0.014605215,497.8932785,0.344922228,1.73E-09,7.17E-09,0.021223809,0.572602901,129.3397006,138.9256005
20.70748958,2.389054275,0.353037991,29297935732,3.45E-10,3.98978E+12,3,0.02597722,302.5072752,0.679515937,1.29E-09,7.53E-09,0.002886647,0.386656584,105.3735924,106.7680822
17.37080551,2.583895236,0.366065985,29471548029,1.42E-10,6.13455E+12,5,0.029407791,548.549374,0.191195904,1.94E-09,1.23E-08,0.015136308,0.496257449,221.955423,224.0768298
26.55632578,3.391557991,0.525740087,28919241066,3.87E-10,7.42356E+12,0,0.017839915,464.9491404,0.492945949,1.66E-09,9.95E-09,0.011857256,0.564257168,226.3376314,216.7930942
10.23238441,2.380831396,0.393926381,26110089805,3.01E-10,9.24961E+12,1,0.021368313,372.4188599,0.599474859,1.08E-09,1.16E-08,0.017922716,0.581376423,170.1232601,162.2379452
12.6309129,2.332591801,0.378807011,20390818998,1.66E-10,6.75124E+11,2,0.013916115,353.591958,0.83045001,1.63E-09,6.31E-09,0.029731006,0.325368578,59.65017059,62.13660931
28.29142765,2.219698037,0.405957657,21215599994,2.36E-10,9.93287E+12,3,0.024125413,464.7419409,0.864166493,1.83E-09,1.13E-08,0.007137937,0.454511364,71.51203804,72.65948857
14.28481182,2.649234386,0.322626099,22636115541,3.04E-10,7.4555E+12,4,0.011781406,344.8050804,0.564234409,1.82E-09,7.49E-09,0.016861009,0.35909883,164.802164,172.041166
25.06498469,3.638616744,0.370188818,29242167412,1.25E-10,7.50497E+12,1,0.013692557,366.6441346,0.964483897,1.88E-09,7.52E-09,0.018660751,0.446669943,192.9974453,195.7368698
12.09162431,3.772725591,0.576177469,21160425474,2.88E-10,9.04305E+12,5,0.019843623,429.9437729,0.663222465,1.46E-09,6.84E-09,0.025206458,0.593715914,463.0158568,453.9512009
25.30620473,2.202801415,0.443826532,26939767971,2.12E-10,1.72556E+12,3,0.029464704,499.4026517,0.447249967,1.20E-09,6.71E-09,0.004972223,0.698217681,100.8728546,105.7524554
21.516988,3.083402257,0.545543496,22046905974,1.30E-10,6.5734E+12,5,0.021813767,531.9179615,0.128424912,1.69E-09,7.55E-09,0.019321995,0.425226596,228.878916,231.0988098
12.60080822,3.303874395,0.658246536,27290689725,3.44E-10,8.84633E+12,0,0.020590414,490.6485755,0.397949781,1.23E-09,9.62E-09,0.021220368,0.418817133,199.8204463,205.6711442
17.63642136,2.744376287,0.478383499,29092736692,3.94E-10,2.84775E+12,0,0.023413141,320.8165839,0.502037683,1.63E-09,8.64E-09,0.028260752,0.682180165,325.7879828,322.1610831
23.11758432,2.312944768,0.577292868,20558599943,1.12E-10,9.44E+12,2,0.011268205,553.4166006,0.611580116,1.85E-09,7.95E-09,0.025832446,0.646755058,59.40021324,57.91101353
13.77708483,2.366616744,0.546933454,29633604139,3.31E-10,8.80795E+11,5,0.021348327,381.2277007,0.60511909,1.68E-09,8.69E-09,0.019482082,0.540877318,285.6613172,288.4889991
18.09106634,3.255721306,0.446910654,25650922495,1.94E-10,4.87002E+12,0,0.011334752,469.8525584,0.712519036,1.34E-09,1.01E-08,0.02007982,0.44244534,92.84104407,89.94482239
14.56988395,2.983971216,0.615003861,21515614165,2.79E-10,9.30818E+12,0,0.010026357,329.1708805,0.814228086,1.18E-09,6.71E-09,0.005522243,0.376863486,104.1965068,102.6092725
10.39876546,2.395841991,0.409608787,21186531219,1.47E-10,3.74323E+11,5,0.0280031,366.3713706,0.557252003,1.75E-09,1.03E-08,0.021504399,0.51080192,221.8358523,227.4333462
21.23291614,3.941280544,0.365100544,23384192519,3.97E-10,3.98909E+12,3,0.027696235,482.8821187,0.070906583,1.16E-09,8.25E-09,0.001726589,0.598246731,144.8548385,136.2089732
11.75163507,3.284370918,0.548527993,22197852261,1.02E-10,7.14165E+12,0,0.018732429,400.5492498,0.007933323,1.73E-09,6.33E-09,0.014968247,0.333434698,80.45872776,89.5092305
28.50571024,3.769118991,0.539718458,28646531586,2.91E-10,7.60267E+12,2,0.016354133,421.6437253,0.335978102,1.53E-09,1.07E-08,0.008782324,0.40765437,116.941962,117.3379207
16.2906996,3.167079955,0.64929988,25980260493,2.93E-10,9.36724E+12,3,0.012540977,483.3377371,0.0806845,1.06E-09,8.43E-09,0.022831885,0.555747044,188.6529192,183.9488538
19.63287144,2.523281842,0.32935541,27747362555,3.56E-10,7.92617E+12,2,0.017012384,332.242213,0.842036794,1.49E-09,9.71E-09,0.028645147,0.607623876,177.1942546,172.9121833
28.27472103,2.038281367,0.455634849,22367105246,3.50E-10,3.45621E+12,1,0.025104164,508.8856309,0.339267926,1.06E-09,7.86E-09,0.027605256,0.338318529,152.2548551,145.6592071
27.40255665,3.248330287,0.481505027,26472338412,3.04E-10,3.11397E+11,2,0.014510427,575.2938023,0.453627148,1.07E-09,1.09E-08,0.013694289,0.399763439,62.06548423,66.69003278
11.13022337,2.797861026,0.515548489,29795278913,1.33E-10,5.28994E+12,3,0.023953765,394.2622486,0.916166753,1.32E-09,9.81E-09,0.026490771,0.62382272,121.2988461,112.8008007
11.06984913,2.455135758,0.385527433,29379890079,2.66E-10,9.75985E+12,1,0.018159155,369.2147188,0.826798423,1.93E-09,8.63E-09,0.011495633,0.40535823,173.8454718,169.0024107
26.33905519,3.551926585,0.577941104,22848994553,2.97E-10,5.14214E+12,0,0.024527884,360.6161234,0.493459959,1.54E-09,8.33E-09,0.00440013,0.337932355,133.860195,137.2464107
27.4663105,2.379951263,0.675462977,22573545780,3.50E-10,6.12725E+12,3,0.022151727,452.7266625,0.693199749,1.68E-09,6.86E-09,0.028654492,0.355196526,180.6822622,181.794315
23.2351643,3.833485926,0.648477632,21354706318,2.49E-10,7.79896E+12,5,0.013200924,334.0883935,0.292658888,1.09E-09,7.21E-09,0.028396711,0.565691255,354.8295597,362.8377437
18.48599445,3.641463155,0.511333705,23152847367,1.76E-10,7.77849E+12,2,0.025613625,574.3429191,0.463072747,1.35E-09,7.52E-09,0.023653609,0.608026632,142.4625917,134.1478425
17.1724829,2.361416894,0.553074092,25016057480,2.27E-10,2.02144E+12,4,0.010574096,396.132506,0.918556255,1.08E-09,1.01E-08,0.008201043,0.551390137,97.48983693,97.11984907
24.63557669,3.291936647,0.369562695,21555256081,1.70E-10,7.21757E+12,0,0.011626716,542.4190655,0.165977767,1.22E-09,9.31E-09,0.013333259,0.594864535,77.58588149,82.3810587
28.32636251,3.425892626,0.550106353,29365970764,2.72E-10,9.53564E+12,4,0.019998663,438.7531544,0.879573504,1.65E-09,1.19E-08,0.02364035,0.569259231,281.3971162,280.2795386
20.75725539,2.891158077,0.57979443,25026338180,2.71E-10,2.24128E+12,2,0.022190133,358.2338661,0.423535953,1.32E-09,9.80E-09,0.021675618,0.412461619,93.15881908,102.1594174
18.79463388,2.126695549,0.67707713,22245549278,2.87E-10,5.95446E+12,2,0.026069452,366.9826363,0.595489512,1.11E-09,1.08E-08,0.023813931,0.6373464,89.70655848,84.01403357
